map	1006728	0.3923809523809524
map	1040198	0.6567436558082312
map	1104300	0.7167096854301885
map	1104447	0.42918508118565524
map	1107704	0.8668831168831169
map	1107821	0.9121620142309798
map	1109840	0.32815745397419355
map	1110996	0.2496850561158723
map	1111577	0.817585270683907
map	1113361	0.7220007381982544
map	1117243	0.26002823670300457
map	1118716	0.4460380043931679
map	1121909	0.7193615569843009
map	112700	0.7242452523940919
map	1128632	0.4122554225652503
map	1129560	0.5072802377554744
map	168329	0.7796154253669847
map	190623	0.9305555555555556
map	2000511	0.5667410182117408
map	2000719	0.18102861702194722
map	2001532	0.11866981764854578
map	2001908	0.654402795439864
map	2001975	0.11784694617389958
map	2002146	0.2168885670208156
map	2002269	0.26027383806887705
map	2002533	0.8904545454545454
map	2002798	0.46494511583281145
map	2003157	0.7339929511430141
map	2003322	0.5175108767389465
map	2003976	0.38646734801388266
map	2004237	0.5470500733771536
map	2004253	0.2808132172595908
map	2005810	0.464967545745127
map	2005861	0.967565397958126
map	2006211	0.499669500895177
map	2006375	0.633192206193231
map	2006394	0.4571776691181695
map	2006627	0.553969628627367
map	2007055	0.20338305518988423
map	2007419	0.5545407095770377
map	2008871	0.6397306086265222
map	2009553	0.9150793650793649
map	2009871	0.3186090242951557
map	2012431	0.33736761563777296
map	2012536	0.3146081772241728
map	2013306	0.023580456517638182
map	2016333	0.47341751245694397
map	2017299	0.7738434794948206
map	2025747	0.563432769837855
map	2026150	0.39089780226570947
map	2026558	0.6520597049571243
map	2027130	0.4685584128766951
map	2027497	0.482827365417349
map	2028378	0.06837739144987444
map	2029260	0.1557149671375709
map	2030323	0.4589853511044614
map	2030608	0.5905257916042511
map	2031726	0.17471243654443996
map	2032090	0.4881631984592665
map	2032949	0.17312821384703977
map	2032956	1.0
map	2033232	0.8912337662337663
map	2033396	0.5010726304952811
map	2033470	0.15986799824551057
map	2034205	0.32771952249240355
map	2034676	0.5044253751510892
map	2035009	0.8868188646149172
map	2035447	0.35835272431588217
map	2035565	0.6133225028173419
map	2036182	0.5078042328042328
map	2036968	0.21439964578019413
map	2037251	0.40655457344328905
map	2037609	0.572214665051436
map	2037924	0.5992366862308958
map	2038466	0.21633708343820746
map	2038890	0.7115079935706319
map	2039908	0.31321115949673906
map	2040287	0.44296422897592375
map	2040352	0.45456154988255776
map	2040613	0.588721264376891
map	2043895	0.055676819240941595
map	2044423	0.5865258480009494
map	2045272	0.11807447329105619
map	2046371	0.33359973574071594
map	2049417	0.6489913062780157
map	2049687	0.7512512505627524
map	2053884	0.5650955603124371
map	2054355	0.32805653716408334
map	2055211	0.5239762921201833
map	2055480	0.7528462747547696
map	2055634	0.19056188716924596
map	2055795	0.2840025694009349
map	2056158	0.07490398799327398
map	2056323	0.8714165464165463
map	2082	0.6254619879361498
map	226975	0.6394639885231166
map	23287	0.8465752854582155
map	237669	1.0
map	253263	0.8766666666666666
map	300025	0.7826399776656374
map	300986	0.7607111166919436
map	30611	0.6861302579583205
map	337656	0.9404761904761905
map	364210	0.7318059111429014
map	395948	0.6541399796653411
map	421946	0.5202897702131526
map	493490	0.4901049866784506
map	505390	0.5683018236696283
map	508292	0.5737438815227862
map	540006	0.7040742279367881
map	596569	0.4906507304566462
map	629937	0.7647289373970363
map	646091	0.3031802848549646
map	647362	0.7725296617789543
map	661905	0.8297022822516054
map	681645	0.5898731603336388
map	688007	0.7176053113553112
map	707882	0.9728925986723974
map	764738	0.8022099067410635
map	806694	0.6299593987638603
map	818583	0.5763626993716625
map	832573	0.45414910312995505
map	835760	0.9023350680789389
map	845121	0.34072153744179123
map	935353	0.7198903098506407
map	935964	0.5741223027411111
map	952262	0.3073917526228821
map	952284	0.6184658856302739
map	975079	0.7135226375209848
map	all	0.5383118525520546
